Date,Open,High,Low,Close,Volume
2022-01-03,150.5,151.0,150.41,150.89,76735830
2022-01-04,153.1,154.87,153.06,153.65,54981505
2022-01-05,152.96,154.17,152.96,154.08,92860080
2022-01-06,156.56,158.84,156.45,156.93,71498555
2022-01-07,156.22,157.27,155.11,155.6,115285250
2022-01-10,156.51,157.05,156.07,156.72,106972561
2022-01-11,155.79,156.33,155.36,155.59,119778859
2022-01-12,154.78,154.81,154.4,154.4,87709731
2022-01-13,155.3,156.0,154.38,155.45,50271836
2022-01-14,154.72,155.36,154.66,154.79,86433622
2022-01-17,155.68,155.86,155.47,155.84,105848857
2022-01-18,156.86,157.15,156.75,157.07,114525468
2022-01-19,157.57,158.87,157.46,158.17,113203558
2022-01-20,160.02,160.13,159.41,159.6,101327755
2022-01-21,158.56,158.83,157.81,158.69,103933927
2022-01-24,155.73,156.77,155.09,156.41,62722094
2022-01-25,157.95,158.86,157.05,158.24,57887739
2022-01-26,159.04,160.0,158.05,158.88,55654237
2022-01-27,160.15,160.26,158.31,159.44,71970758
2022-01-28,160.38,160.45,159.41,159.81,111777469
2022-01-31,161.76,161.83,161.14,161.56,84755914
2022-02-01,162.6,163.19,162.27,162.56,52484413
2022-02-02,162.17,162.36,161.03,162.06,79859174
2022-02-03,161.02,161.59,160.48,161.49,71200096
2022-02-04,161.1,161.47,160.7,160.83,116653416
2022-02-07,161.65,162.14,161.49,161.61,57654909
2022-02-08,163.76,164.54,163.35,163.71,90163712
2022-02-09,163.6,164.02,163.2,163.55,118227907
2022-02-10,163.08,163.69,162.53,163.13,113020641
2022-02-11,160.35,162.39,160.14,161.92,85562619
2022-02-14,165.42,165.74,165.33,165.67,101939266
2022-02-15,166.59,167.83,166.46,167.38,62984808
2022-02-16,166.67,166.81,164.88,165.53,60047453
2022-02-17,164.54,165.74,164.28,164.89,107631343
2022-02-18,169.47,169.72,167.32,167.59,82797855
2022-02-21,166.95,168.38,166.18,167.18,80948143
2022-02-22,167.36,167.48,166.62,167.39,73101383
2022-02-23,166.87,167.48,166.02,166.94,83163773
2022-02-24,165.85,165.87,162.59,164.97,105403796
2022-02-25,163.42,163.75,162.47,163.38,59405634
2022-02-28,165.25,166.55,164.78,164.99,68298917
2022-03-01,163.47,163.5,163.16,163.49,108245345
2022-03-02,165.76,167.16,165.34,166.05,90820227
2022-03-03,166.74,166.87,166.72,166.83,62707035
2022-03-04,163.44,163.46,162.99,163.26,92058334
2022-03-07,164.66,164.95,163.01,164.25,68992383
2022-03-08,159.82,159.9,158.81,159.69,83999533
2022-03-09,159.22,159.23,158.4,159.04,114785345
2022-03-10,156.92,158.22,156.72,157.41,117607727
2022-03-11,156.94,157.97,156.2,156.56,76658609
2022-03-14,159.53,160.56,157.08,157.53,112460303
2022-03-15,159.52,159.73,159.35,159.68,117758014
2022-03-16,159.27,160.03,158.17,159.6,51079600
2022-03-17,160.53,161.0,160.02,160.28,79549535
2022-03-18,166.34,166.4,163.76,164.88,94910237
2022-03-21,166.33,166.61,166.11,166.52,118532150
2022-03-22,165.35,165.53,164.94,165.06,88498937
2022-03-23,163.46,163.87,162.95,163.48,66953831
2022-03-24,163.06,164.32,162.1,163.84,98487260
2022-03-25,164.48,165.54,163.89,164.29,83698788
2022-03-28,163.48,164.29,163.05,163.62,100018037
2022-03-29,164.87,165.16,164.69,164.8,53693305
2022-03-30,164.57,165.43,163.21,164.8,77451727
2022-03-31,165.7,165.79,165.57,165.62,61726298
2022-04-01,167.36,167.69,165.97,166.83,84958762
2022-04-04,167.34,167.36,166.75,167.24,85610155
2022-04-05,165.69,166.04,165.12,165.47,87317456
2022-04-06,165.48,166.2,163.95,165.24,58454561
2022-04-07,166.46,166.61,164.33,165.19,84086263
2022-04-08,167.63,168.5,167.29,167.82,52640328
2022-04-11,171.55,173.03,171.06,171.58,112976036
2022-04-12,172.61,173.03,171.41,172.37,90260456
2022-04-13,172.77,175.64,171.55,173.68,76778642
2022-04-14,173.78,173.8,173.41,173.52,96977874
2022-04-15,171.67,171.76,171.57,171.75,60198499
2022-04-18,171.57,171.63,169.74,170.09,52276360
2022-04-19,172.23,172.5,170.97,171.34,107235484
2022-04-20,172.54,173.0,170.55,171.76,91869822
2022-04-21,171.89,172.85,171.0,172.14,62831595
2022-04-22,171.62,171.9,168.84,170.17,65814828
2022-04-25,170.25,170.38,169.86,170.13,88503931
2022-04-26,168.31,169.03,168.11,168.44,102203051
2022-04-27,168.82,168.86,168.31,168.54,105257851
2022-04-28,168.39,168.41,167.68,168.33,92801198
2022-04-29,170.97,172.08,169.41,171.26,110972984
2022-05-02,169.24,169.8,169.17,169.68,107681017
2022-05-03,168.64,170.51,168.49,169.36,74244264
2022-05-04,164.36,165.95,164.31,165.68,71288948
2022-05-05,166.8,167.63,166.2,166.82,57136029
2022-05-06,169.78,169.84,169.53,169.77,57468810
2022-05-09,166.69,167.41,166.19,166.28,108720660
2022-05-10,168.75,168.76,168.71,168.75,81206052
2022-05-11,167.27,168.58,166.83,167.45,103363404
2022-05-12,166.3,166.42,165.93,166.14,117201057
2022-05-13,164.64,164.74,164.29,164.49,86213003
2022-05-16,167.49,169.01,166.39,168.53,64681316
2022-05-17,171.19,172.3,171.17,171.55,79367077
2022-05-18,171.12,172.22,169.75,170.84,82843745
2022-05-19,172.25,173.11,170.83,171.25,93558992
2022-05-20,173.48,174.01,173.3,173.99,112754884
2022-05-23,173.32,174.33,173.0,173.98,107395058
2022-05-24,171.34,172.83,169.23,170.97,109387253
2022-05-25,169.44,169.58,168.47,169.11,115438362
2022-05-26,172.32,173.36,172.07,172.51,91311634
2022-05-27,171.86,172.36,171.26,171.46,63630084
2022-05-30,171.65,172.53,171.14,171.31,64677069
2022-05-31,169.46,169.78,168.77,168.8,100066487
2022-06-01,167.02,167.07,166.79,166.98,65152994
2022-06-02,166.12,166.39,165.69,165.91,50067661
2022-06-03,161.19,162.66,161.13,161.33,60466615
2022-06-06,161.75,162.74,161.72,162.11,92573305
2022-06-07,162.26,164.33,162.02,163.37,59810404
2022-06-08,163.4,164.94,162.6,163.88,72419480
2022-06-09,164.45,165.16,163.75,164.29,75153646
2022-06-10,164.84,166.44,163.86,165.08,109292991
2022-06-13,170.6,170.63,168.22,169.01,101646180
2022-06-14,166.95,168.82,166.77,167.76,67810471
2022-06-15,167.75,167.83,166.92,167.68,72763342
2022-06-16,167.07,167.15,166.1,166.52,66263882
2022-06-17,165.52,165.94,164.12,164.57,98014453
2022-06-20,163.09,163.29,162.59,162.77,81699263
2022-06-21,166.07,166.12,165.38,166.11,84970444
2022-06-22,164.15,164.85,164.1,164.81,111119361
2022-06-23,163.91,164.87,163.57,164.05,61643208
2022-06-24,164.18,166.28,163.05,165.09,79967940
2022-06-27,163.77,163.82,163.02,163.51,68161634
2022-06-28,162.88,163.81,162.73,163.68,110203880
2022-06-29,164.61,164.81,163.66,164.18,58910852
2022-06-30,166.0,166.54,165.24,165.47,67606951
2022-07-01,167.97,168.15,166.34,166.68,86640608
2022-07-04,167.08,168.11,166.44,166.71,102840397
2022-07-05,166.11,168.18,165.08,166.28,100676914
2022-07-06,164.51,164.86,164.11,164.53,95745050
2022-07-07,166.89,167.4,166.66,166.99,59803005
2022-07-08,167.15,169.08,166.93,168.31,72468492
2022-07-11,168.25,168.46,167.41,168.23,95103150
2022-07-12,171.31,171.49,171.07,171.09,57726890
2022-07-13,171.77,171.82,170.51,170.81,86940933
2022-07-14,170.13,170.95,168.83,168.99,81549031
2022-07-15,175.74,175.9,173.83,174.35,109220571
2022-07-18,172.82,173.19,172.74,173.03,112671672
2022-07-19,171.56,173.11,171.11,172.05,110749710
2022-07-20,169.93,170.95,169.92,170.84,85453171
2022-07-21,169.84,170.34,169.58,169.64,63757649
2022-07-22,171.35,171.39,170.97,171.35,114991256
2022-07-25,173.64,173.84,171.48,171.52,81199893
2022-07-26,170.19,170.7,169.76,170.14,85966581
2022-07-27,169.4,170.26,169.21,170.17,57022336
2022-07-28,168.13,169.75,167.25,168.39,63691164
2022-07-29,168.53,168.93,166.5,167.72,63781009
2022-08-01,169.16,170.67,167.75,169.82,115954738
2022-08-02,174.0,174.09,173.47,173.79,87003110
2022-08-03,172.69,172.86,172.01,172.06,93728950
2022-08-04,174.08,174.45,173.36,174.03,63839094
2022-08-05,171.14,172.96,170.2,172.42,79822180
2022-08-08,172.14,173.16,171.82,172.73,74444321
2022-08-09,175.27,175.69,175.08,175.32,105842822
2022-08-10,173.99,174.27,172.43,173.09,56202258
2022-08-11,169.54,171.12,168.57,169.62,62790902
2022-08-12,167.52,168.6,166.78,167.96,106761259
2022-08-15,167.22,167.46,167.01,167.25,118841329
2022-08-16,167.37,169.13,166.76,167.32,111658869
2022-08-17,166.41,166.85,164.4,165.31,60971177
2022-08-18,168.15,168.96,167.14,167.6,56238795
2022-08-19,167.1,168.94,166.71,168.11,85055276
2022-08-22,170.15,170.44,169.19,170.16,117800621
2022-08-23,168.77,169.62,168.23,169.45,81970599
2022-08-24,171.11,171.33,170.52,170.63,66770274
2022-08-25,169.94,170.84,168.87,170.37,74755666
2022-08-26,170.31,170.61,170.01,170.12,63283692
2022-08-29,170.02,171.78,169.07,170.88,78104320
2022-08-30,170.87,171.84,170.12,170.16,107696034
2022-08-31,171.07,171.64,170.25,171.18,59004644
2022-09-01,173.62,174.23,172.9,173.09,86045138
2022-09-02,175.08,175.33,173.66,174.79,60563214
2022-09-05,177.15,177.27,176.91,177.02,105471391
2022-09-06,178.08,178.11,177.69,177.93,61579149
2022-09-07,174.85,175.52,174.69,175.2,59913841
2022-09-08,177.83,178.37,176.85,178.05,60822814
2022-09-09,171.73,173.04,170.53,172.26,92942594
2022-09-12,170.3,171.19,169.88,170.1,85396080
2022-09-13,171.56,172.12,169.97,170.38,97149071
2022-09-14,172.6,172.61,171.5,172.45,51020154
2022-09-15,167.55,167.61,166.64,167.54,82339834
2022-09-16,167.28,167.67,164.58,166.5,115856750
2022-09-19,165.89,166.44,165.61,165.77,108075712
2022-09-20,164.23,165.17,163.83,164.94,113813565
2022-09-21,164.25,164.42,162.6,163.12,109488206
2022-09-22,160.2,160.3,158.48,159.33,71882940
2022-09-23,161.06,161.09,159.41,160.64,89509310
2022-09-26,161.07,161.08,159.64,160.54,105498298
2022-09-27,161.29,162.2,161.01,161.28,104496748
2022-09-28,160.17,160.56,160.06,160.48,65135763
2022-09-29,163.44,163.93,162.31,162.77,64315679
2022-09-30,165.93,167.7,165.26,167.14,84045468
2022-10-03,165.44,165.62,165.1,165.38,50605409
2022-10-04,162.05,162.93,161.19,161.91,56155579
2022-10-05,160.02,160.1,159.24,160.06,87877058
2022-10-06,163.25,163.53,161.27,162.61,119475474
2022-10-07,163.18,163.82,163.06,163.51,67824559
2022-10-10,165.04,165.54,164.24,165.12,61667877
2022-10-11,167.59,167.6,167.3,167.43,67486878
2022-10-12,166.27,167.22,166.09,167.1,73480675
2022-10-13,165.59,166.76,165.18,165.46,74192961
2022-10-14,167.39,168.33,167.06,167.08,88679227
2022-10-17,166.72,167.59,166.7,167.27,82735803
2022-10-18,168.73,168.98,167.92,168.38,92081603
2022-10-19,168.63,170.29,168.51,169.38,70718453
2022-10-20,172.68,173.11,171.33,171.81,63426716
2022-10-21,173.49,173.93,172.53,172.58,86089369
2022-10-24,173.21,173.41,172.27,172.35,58674163
2022-10-25,174.47,175.17,174.26,174.76,77209162
2022-10-26,174.9,175.29,174.19,174.29,93353746
2022-10-27,175.66,176.41,175.44,175.62,105229602
2022-10-28,175.43,175.98,174.94,175.78,62866619
2022-10-31,175.19,175.29,174.85,175.05,119551130
2022-11-01,175.23,176.55,175.19,176.02,112697275
2022-11-02,176.06,178.15,175.37,176.7,105940773
2022-11-03,175.25,175.89,174.32,175.48,117007551
2022-11-04,177.91,178.16,177.89,177.92,98055661
2022-11-07,179.88,181.18,179.66,180.51,88836811
2022-11-08,183.87,184.53,182.32,182.34,91965471
2022-11-09,184.63,184.67,183.3,184.58,107376857
2022-11-10,181.85,183.03,181.56,182.13,98243574
2022-11-11,182.37,183.02,181.34,182.9,92307399
2022-11-14,185.83,186.77,185.34,185.93,59986298
2022-11-15,190.36,190.85,188.6,190.65,102200318
2022-11-16,193.05,193.72,191.23,193.34,76098641
2022-11-17,190.9,191.45,190.35,190.94,51940369
2022-11-18,193.69,194.8,192.37,193.53,101721929
2022-11-21,190.52,190.8,189.07,190.35,86159646
2022-11-22,190.08,190.58,189.24,189.5,70808635
2022-11-23,187.57,187.81,185.85,185.95,100277283
2022-11-24,190.62,191.48,189.38,189.93,76256629
2022-11-25,186.47,188.46,185.85,187.01,61950831
2022-11-28,186.56,188.28,185.54,186.73,104181889
2022-11-29,187.49,187.73,185.91,187.46,83523310
2022-11-30,187.73,188.79,185.65,187.34,56491878
2022-12-01,187.06,187.57,185.32,186.53,75227191
2022-12-02,189.04,190.46,188.6,189.13,87407753
2022-12-05,184.25,184.61,184.13,184.37,97602635
2022-12-06,186.83,187.88,186.61,187.1,73284856
2022-12-07,183.8,184.53,182.05,183.43,88090551
2022-12-08,183.84,184.76,183.6,183.82,62617619
2022-12-09,183.02,183.69,182.99,183.66,75560098
2022-12-12,183.94,184.45,183.7,183.77,81073264
2022-12-13,187.91,188.28,187.11,187.56,111468641
2022-12-14,182.55,183.44,181.57,182.03,95587883
2022-12-15,179.67,179.79,179.65,179.7,53646804
2022-12-16,179.75,180.21,179.38,179.96,72791342
2022-12-19,182.0,182.29,181.71,181.84,84831079
2022-12-20,182.88,183.01,182.38,182.64,103376963
2022-12-21,180.33,180.88,179.3,180.28,105160409
2022-12-22,184.2,184.72,183.4,183.81,74101438
2022-12-23,183.71,183.97,183.37,183.67,115969098
2022-12-26,184.07,184.82,183.71,184.6,98719461
2022-12-27,186.66,186.72,186.25,186.59,52887296
2022-12-28,187.32,188.39,187.31,188.28,101908238
2022-12-29,191.26,192.82,189.37,191.3,61748768
2022-12-30,192.91,194.38,192.48,193.76,95938649
2023-01-02,190.54,191.3,189.79,191.0,97732820
2023-01-03,192.06,192.65,191.51,192.6,55438684
2023-01-04,190.06,191.38,188.55,189.92,110795662
2023-01-05,185.96,186.72,183.74,185.77,92491924
2023-01-06,187.38,187.72,187.36,187.46,94810380
2023-01-09,187.53,188.02,187.06,187.32,79105135
2023-01-10,192.06,192.19,191.87,191.92,84253388
2023-01-11,193.69,194.65,193.48,193.7,117284075
2023-01-12,194.42,195.24,193.36,193.94,78186921
2023-01-13,193.99,194.83,193.91,194.69,63952821
2023-01-16,193.19,193.4,192.88,193.33,78728437
2023-01-17,195.53,196.12,193.26,193.66,70523385
2023-01-18,195.21,195.62,195.07,195.38,106728215
2023-01-19,198.7,199.21,197.67,198.92,57667857
2023-01-20,196.8,197.99,196.43,197.56,67789600
2023-01-23,196.85,197.15,196.84,196.97,99375650
2023-01-24,200.33,201.45,198.69,199.24,99133346
2023-01-25,196.19,197.61,195.07,195.97,85609212
2023-01-26,198.77,199.36,197.97,198.27,113975459
2023-01-27,196.35,197.57,196.0,196.99,98302504
2023-01-30,194.27,196.6,194.1,194.58,115147039
